"";"nr_tourists";"TURYSTYCZNE_OBIEKTY.udzielone_noclegi_turystom_zagranicznym_ogolem"
"1";38823,92856;10833
"2";232236,05464;101680
"3";120224,46461;56778
"4";214047,76315;114879
"5";27924,8189;7042
"6";21684,85616;6565
"7";67072,98983;30229
"8";233320,12594;88486
"9";54826,63186;19283
"10";81085,48545;40735
"11";1116521,99263;1024981
"12";147179,47986;50229
"13";124009,91673;78638
"14";65221,31535;30847
"15";55967,82854;8292
"16";31539,9041;7567
"17";105802,4835;78670
"18";32161,54725;9086
"19";433604,1279;243832
"20";163956,80952;39742
"21";9967,8888;1780
"22";49926,0112;12813
"23";2518928,2092;2982406
"24";32325,022;8423
"25";87747,84432;66312
"26";11435,97852;3923
"27";616550,9145;393114
"28";19144,059;6358
"29";333676,42224;120154
"30";39268,99766;14744
"31";184876,725;48700
"32";106821,3482;49614
"33";5707,0995;852
"34";27486,92094;6545
"35";33622,16371;8617
"36";51673,88647;10122
"37";914401,48604;391402
"38";53735,8752;19689
"39";70331,4689;50805
"40";13081,92375;38759
"41";20503,44073;8593
"42";277626,58326;97014
"43";58652,41168;23105
"44";32079,27125;61764
"45";274365,57084;151455
"46";39423,47212;18821
"47";66442,15404;22336
"48";451783,65664;1133717
"49";387251,92398;350321
"50";14030,81683;1968
"51";48788,73076;14465
"52";360701,4348;78485
"53";58120,61052;39376
"54";65799,318;23925
"55";3665147,04024;2633937
"56";42479,17024;10861
"57";1284345,48448;701906
"58";108347,44256;27376
"59";65951,26628;11210
"60";75969,2686;28340
"61";20332,4615;10913
