apple,Katowice
apricot,Kielce
berry,Gdynia
blackcurrant,Jelenia Góra
blood_orange,Przemyśl
cantaloupe,Słupsk
cloudberry,Piekary Śląskie
coconut,Łódź
dragonfruit,Lublin
durian,Piotrków Trybunalski
elderberry,Kalisz
fig,Biała Podlaska
grapefruit,Zamość
guava,Olsztyn
kiwano,Płock
kumquat,Białystok
lemon,Warszawa
lime,Zielona Góra
longan,Koszalin
lychee,Kraków
mandarine,Bielsko-Biała
mango,Wrocław
mangosteen,Zabrze
miracle_fruit,Ostrołęka
nance,Sosnowiec
orange,Konin
passionfruit,Tarnów
peach,Rybnik
pear,Jastrzębie-Zdrój
pineapple,Siedlce
plum,Opole
plumcot,Świętochłowice
pomelo,Gdańsk
poznan,Poznań
prune,Legnica
redcurrant,Bytom
star_fruit,Chorzów
