city,area,people,density
Aleksandrów Kujawski,723,12220,1690
Aleksandrów Łódzki,1382,21682,1569
Alwernia,888,3370,380
Andrychów,1033,20260,1961
Annopol,773,2528,327
Augustów,8090,30242,374
Babimost,365,3927,1076
Baborów,1186,2920,246
Baranów Sandomierski,915,1463,160
Barcin,370,7468,2018
Barczewo,458,7535,1645
Bardo,471,2563,544
Barlinek,1755,13803,786
Bartoszyce,1179,23609,2002
Barwice,752,3723,495
Bełchatów,3464,57432,1658
Bełżyce,2346,6551,279
Będzin,3737,56804,1520
Biała,1472,2443,166
Biała Piska,324,4030,1244
Biała Podlaska,4940,57352,1161
Biała Rawska,953,3197,335
Białobrzegi,751,6980,929
Białogard,2573,24339,946
Biały Bór,1282,2199,172
Białystok,10213,297459,2913
Biecz,1771,4599,260
Bielawa,3621,30055,830
Bielsk Podlaski,2701,25370,939
Bielsko-Biała,12451,171259,1375
Bieruń,4049,19605,484
Bierutów,836,4871,583
Bieżuń,1207,1856,154
Biłgoraj,2110,26391,1251
Biskupiec,500,10602,2120
Bisztynek,216,2365,1095
Blachownia,3666,9594,262
Błaszki,162,2122,1310
Błażowa,423,2151,509
Błonie,909,12327,1356
Bobolice,477,4018,842
Bobowa,718,3136,437
Bochnia,2987,29922,1002
Bodzentyn,865,2240,259
Bogatynia,5988,17559,293
Boguchwała,911,6117,671
Boguszów-Gorce,2702,15444,572
Bojanowo,234,2923,1249
Bolesławiec,2357,38935,1652
Bolków,768,5001,651
Borek Wielkopolski,629,2526,402
Borne Sulinowo,1815,5090,280
Braniewo,1241,17071,1376
Brańsk,3243,3774,116
Brodnica,2315,28774,1243
Brok,2806,1940,69
Brusy,520,5232,1006
Brwinów,1010,13531,1340
Brzeg,1461,35930,2459
Brzeg Dolny,1720,12492,726
Brzesko,1192,16825,1411
Brzeszcze,1904,11226,590
Brześć Kujawski,704,4659,662
Brzeziny,2158,12547,581
Brzostek,876,2742,313
Brzozów,1146,7455,651
Buk,296,6064,2049
Bukowno,6459,10197,158
Busko-Zdrój,1228,15952,1299
Bychawa,669,4942,739
Byczyna,579,3609,623
Bydgoszcz,17598,350178,1990
Bystrzyca Kłodzka,1074,10189,949
Bytom,6944,166795,2402
Bytom Odrzański,230,4331,1883
Bytów,872,16954,1944
Cedynia,167,1573,942
Chełm,3528,62670,1776
Chełmek,827,9061,1096
Chełmno,1356,19720,1454
Chełmża,784,14532,1854
Chęciny,1413,4445,315
Chmielnik,780,3703,475
Chocianów,900,7911,879
Chociwel,367,3209,874
Chocz,688,1777,258
Chodecz,139,1899,1366
Chodzież,1277,18684,1463
Chojna,1258,7390,587
Chojnice,2104,39904,1897
Chojnów,532,13426,2524
Choroszcz,1679,5867,349
Chorzele,1751,3078,176
Chorzów,3324,108434,3262
Choszczno,958,15248,1592
Chrzanów,3832,36945,964
Ciechanowiec,1953,4639,238
Ciechanów,3278,44209,1349
Ciechocinek,1526,10596,694
Cieszanów,1506,1930,128
Cieszyn,2861,34613,1210
Ciężkowice,999,2469,247
Cybinka,529,2756,521
Czaplinek,1362,7124,523
Czarna Białostocka,1428,9338,654
Czarna Woda,994,2805,282
Czarne,4643,5952,128
Czarnków,1017,10735,1056
Czchów,1409,2344,166
Czechowice-Dziedzice,3291,35919,1091
Czeladź,1638,31677,1934
Czempiń,332,5295,1595
Czerniejewo,1019,2663,261
Czersk,973,9912,1019
Czerwieńsk,936,4063,434
Czerwionka-Leszczyny,3763,28266,751
Częstochowa,15971,222292,1392
Człopa,627,2326,371
Człuchów,1278,13708,1073
Czyżew,523,2641,505
Ćmielów,1334,3024,227
Daleszyce,1550,2907,188
Darłowo,2021,13759,681
Dąbie,880,2002,228
Dąbrowa Białostocka,2264,5553,245
Dąbrowa Górnicza,18873,120259,637
Dąbrowa Tarnowska,2307,11906,516
Debrzno,751,5102,679
Dębica,3383,45817,1354
Dęblin,3833,16149,421
Dębno,1951,13843,710
Dobczyce,1297,6434,496
Dobiegniew,569,3088,543
Dobra,237,2326,981
Dobra,184,1387,754
Dobre Miasto,486,10239,2107
Dobrodzień,1953,3722,191
Dobrzany,534,2264,424
Dobrzyca,1970,3128,159
Dobrzyń nad Wisłą,541,2139,395
Dolsk,620,1560,252
Drawno,503,2290,455
Drawsko Pomorskie,2233,11657,522
Drezdenko,1072,10182,950
Drobin,965,2889,299
Drohiczyn,1569,1987,127
Drzewica,481,3844,799
Dukla,548,2083,380
Duszniki-Zdrój,2228,4629,208
Dynów,2455,6138,250
Działdowo,1147,21275,1855
Działoszyce,192,908,473
Działoszyn,494,5922,1199
Dzierzgoń,390,5367,1376
Dzierżoniów,2007,33344,1661
Dziwnów,652,2698,414
Elbląg,7982,120142,1505
Ełk,2105,61928,2942
Frampol,467,1437,308
Frombork,759,2355,310
Garwolin,2208,17494,792
Gąbin,2795,4114,147
Gdańsk,26196,466631,1781
Gdynia,13514,246309,1823
Giżycko,1372,29396,2143
Glinojeck,737,3017,409
Gliwice,13388,179806,1343
Głogów,3511,67615,1926
Głogów Małopolski,1371,6568,479
Głogówek,2206,5604,254
Głowno,1984,14291,720
Głubczyce,1254,12596,1004
Głuchołazy,683,13585,1989
Głuszyca,1621,6381,394
Gniew,604,6761,1119
Gniewkowo,918,7141,778
Gniezno,4060,68479,1687
Gogolin,2035,6661,327
Golczewo,742,2673,360
Goleniów,1178,22403,1902
Golina,352,4503,1279
Golub-Dobrzyń,750,12630,1684
Gołańcz,1264,3336,264
Gołdap,1720,13735,799
Goniądz,428,1813,424
Gorlice,2353,27597,1173
Gorzów Śląski,1854,2452,132
Gorzów Wielkopolski,8572,123921,1446
Gostynin,3240,18647,576
Gostyń,1109,20192,1821
Gościno,570,2417,424
Gozdnica,2392,3061,128
Góra,1365,11859,869
Góra Kalwaria,1367,12009,878
Górowo Iławeckie,332,3974,1197
Górzno,343,1370,399
Grabów nad Prosną,258,1940,752
Grajewo,1894,21935,1158
Grodków,988,8667,877
Grodzisk Mazowiecki,1319,31505,2389
Grodzisk Wielkopolski,1821,14633,804
Grójec,857,16707,1949
Grudziądz,5776,95045,1646
Grybów,1695,6038,356
Gryfice,1240,16527,1333
Gryfino,1181,21274,1801
Gryfów Śląski,663,6641,1002
Gubin,2068,16687,807
Hajnówka,2129,20690,972
Halinów,284,3739,1317
Hel,2295,3285,143
Hrubieszów,3303,17735,537
Iława,2188,33250,1520
Iłowa,918,3912,426
Iłża,1583,4775,302
Imielin,2799,9153,327
Inowrocław,3042,73114,2403
Ińsko,748,1929,258
Iwonicz-Zdrój,589,1793,304
Izbica Kujawska,224,2631,1175
Jabłonowo Pomorskie,335,3758,1122
Janikowo,951,8758,921
Janowiec Wielkopolski,304,3966,1305
Janów Lubelski,1480,11940,807
Jaraczewo,1007,1420,141
Jarocin,1638,26256,1603
Jarosław,3461,37690,1089
Jasień,479,4328,904
Jasło,3652,35192,964
Jastarnia,506,2710,536
Jastrowie,7230,8598,119
Jastrzębie-Zdrój,8533,89128,1045
Jawor,1880,23056,1226
Jaworzno,15259,91563,600
Jaworzyna Śląska,434,5141,1185
Jedlicze,1060,5759,543
Jedlina-Zdrój,1745,4851,278
Jedwabne,454,1632,359
Jelcz-Laskowice,1706,15792,926
Jelenia Góra,10922,79480,728
Jeziorany,341,3225,946
Jędrzejów,1137,15149,1332
Jordanów,2103,5373,255
Józefów,500,2492,498
Józefów,2391,20605,862
Józefów nad Wisłą,365,923,253
Jutrosin,162,1967,1214
Kalety,7629,8626,113
Kalisz,6942,100975,1455
Kalisz Pomorski,1196,4377,366
Kalwaria Zebrzydowska,550,4515,821
Kałuszyn,1230,2890,235
Kamienna Góra,1804,19136,1061
Kamień Krajeński,365,2386,654
Kamień Pomorski,1074,8846,824
Kamieńsk,1199,2782,232
Kańczuga,760,3171,417
Karczew,2812,9891,352
Kargowa,455,3754,825
Karlino,940,5919,630
Karpacz,3799,4633,122
Kartuzy,735,14557,1981
Katowice,16464,294510,1789
Kazimierz Dolny,3044,2579,85
Kazimierza Wielka,533,5579,1047
Kąty Wrocławskie,861,6948,807
Kcynia,684,4670,683
Kędzierzyn-Koźle,12371,61062,494
Kępice,611,3606,590
Kępno,779,14123,1813
Kętrzyn,1035,27366,2644
Kęty,2305,18744,813
Kielce,10965,195774,1785
Kietrz,1874,6034,322
Kisielice,337,2103,624
Kleczew,780,4186,537
Kleszczele,4671,1271,27
Kluczbork,1235,23661,1916
Kłecko,962,2637,274
Kłobuck,4746,12957,273
Kłodawa,431,6481,1504
Kłodzko,2484,26954,1085
Knurów,3395,38402,1131
Knyszyn,2368,2755,116
Kobylin,487,3245,666
Kobyłka,1964,23706,1207
Kock,1678,3315,198
Kolbuszowa,798,9133,1144
Kolno,2507,10261,409
Kolonowskie,5570,3328,60
Koluszki,990,13026,1316
Kołaczyce,715,1403,196
Koło,1385,21994,1588
Kołobrzeg,2567,46367,1806
Koniecpol,3692,5950,161
Konin,8231,74151,901
Konstancin-Jeziorna,1774,17086,963
Konstantynów Łódzki,2725,18096,664
Końskie,1770,19330,1092
Koprzywnica,1790,2488,139
Korfantów,1023,1817,178
Koronowo,2815,11182,397
Korsze,403,4259,1057
Kosów Lacki,1157,2088,180
Kostrzyn,798,9677,1213
Kostrzyn nad Odrą,4614,17776,385
Koszalin,9834,107321,1091
Koszyce,325,782,241
Kościan,901,23923,2655
Kościerzyna,1586,23759,1498
Kowal,468,3499,748
Kowalewo Pomorskie,445,4143,931
Kowary,3739,10957,293
Koziegłowy,2671,2463,92
Kozienice,1045,17331,1658
Koźmin Wielkopolski,589,6536,1110
Kożuchów,594,9490,1598
Kórnik,599,7847,1310
Krajenka,376,3638,968
Kraków,32685,771069,2359
Krapkowice,2101,16381,780
Krasnobród,699,3094,443
Krasnystaw,4213,18778,446
Kraśnik,2610,34539,1323
Krobia,705,4313,612
Krosno,4350,46511,1069
Krosno Odrzańskie,815,11378,1396
Krośniewice,418,4375,1047
Krotoszyn,2254,28969,1285
Kruszwica,664,8818,1328
Krynica Morska,11856,1303,11
