"","happy_about_locality_mean","safety_level_locality_mean","recreation_areas_locality_mean","public_transfer_locality_4","touristic_popularity","wikipedia_area","wikipedia_nr_of_people","wikipedia_city_rights_since","DOCHODY_BUDZETOW_MIAST.Dochody_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc","DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_803_Szkolnictwo_wyzsze","DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem","Domy_i_osrodki_kultury.ogolem","Imprezy_masowe.liczba_imprez_ogolem","Imprezy_masowe.liczba_imprez_sportowe","KINA.Liczba_ludnosci_na_miejsce_w_kinach_stalych","KOMUNIKACJA_MIEJSKA.dlugosc_bus_pasow","MUZEA.Muzea_w_gestii_samorzadu_muzea_lacznie_z_oddzialami","SCIEZKI_ROWEROWE.sciezki_rowerowe_(drogi_dla_rowerow)_ogolem","TARGOWISKA.Targowiska_sezonowe","TARGOWISKA.Targowiska_stale","TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_*****","TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_***","accommodations_per1k_given"
"1",4.14104654040031,4.40265512992313,3.28372516912425,0.28495458701911,192.927652876082,49.4,57303,1525,322087982.89,10615483.03,5601.72,4758320.36,0,93584526.54,1,27,18,65,0,2,10.5,0,4,0,4,994.68
"2",4.59885628231609,4.5341907672159,3.9423447085913,0.265963678492653,445.824087982259,102.13,297403,1691,2059114651.9,350081779.13,6923.65,354457898.72,0,641728810.78,17,51,27,69,16.5,2,128.4,51,4,1,6,1090.91
"3",4.53888019454761,4.4891146865508,4.18341792347404,0.411836249034787,393.042778134391,124.51,171277,1250,1069387434.14,49252104.89,6243.61,30087251.75,0,217660631.03,15,72,60,56,0,0,33.7,104,6,0,3,1410.59
"4",4.42558466757628,4.06122401684127,3.71776811980536,0.325140200927713,500.75817127701,175.98,352313,1346,2109052562.28,178741943.35,6004.35,163506076.9,17690.85,496639416.58,8,195,130,62,9,1,100.5,0,15,1,6,1309.04
"5",4.4606822701319,4.51268449030331,3.98402628478333,0.333873249633994,233.918950740196,69.44,166795,1254,891584914.58,69364954.47,5317.43,14669152.57,0,267128269.43,3,5,1,88,0,0,28.9,0,5,0,0,319.24
"6",4.43514124758652,4.61169427770275,3.63271577505399,0.430774112860374,112.665275094749,35.28,63734,1392,342044694.39,12668525.73,5426.78,2737436.71,0,90587883.08,1,9,2,168,0,1,16.1,2,6,0,2,635.56
"7",4.46857422528159,4.19732661492565,3.92500506885686,0.407219283077483,550.812931343388,33.24,109021,1868,663721620.7,60969994.31,6107.79,13642985.16,0,173010123.43,3,27,15,2711,0,1,26.8,56,5,0,3,1125.37
"8",4.49087617030626,4.71946506352091,3.64734657870436,0.300523615037215,NA,159.71,223322,1373,1264045836.18,62215314.45,5660.19,27870707.65,0.33,306274023.54,8,89,49,60,1.4,1,75.7,0,7,0,5,1550.79
"9",4.25338716181585,4.22779801892155,3.77679422140302,0.453890571370861,176.849310936174,188.73,121121,1916,787780599.65,66171222.84,6522.6,11662224.06,0,149979177.41,18,75,40,86,0,1,15.3,0,3,0,1,641.11
"10",4.37081782082529,4.38014044152049,4.02087353795681,0.453378275560734,238.818187335075,79.82,120895,1246,636960971.43,41088548.03,5283,19077347.8,0,178000516.65,2,63,54,121,0,1,44.1,0,1,0,6,1277.46
"11",4.93667782942415,4.49830175898931,4.23982874115959,0.332572152832255,1703.80057376884,261.96,466631,1457,3276985537.89,302204071.47,7049.87,267336201.82,0,581393035.04,26,36,12,58,4.1,8,182.3,9,4,5,25,5628.62
"12",4.93667782942415,4.49830175898931,4.23982874115959,0.332572152832255,540.126273309254,135.14,246309,1926,1605977090.39,142547352.44,6522.95,92137600.4,0,308294144.59,2,153,92,154,3.2,2,62.1,12,6,0,8,1341.81
"13",4.59754935925307,4.38976206606315,3.85835414292137,0.405429324418106,327.547120167224,133.88,181309,1276,1212988376.76,110677570.92,6712.42,27295729.01,0,241833484.85,0,83,61,66,0.3,4,39.4,0,3,0,9,1337.49
"14",4.44108163448274,4.38320611199622,3.9704995885752,0.454148831089191,215.489431824474,85.72,124295,1257,756278502.58,98303950.8,6090.33,56275805.59,286.58,234248706.42,4,30,23,57,0,0,50.6,21,4,0,5,945.31
"15",4.7841467609627,4.71293266894983,4.06371329025269,0.267466103392791,199.711445892957,57.76,95629,1291,571484911.76,38660347.14,5993.3,13356685.26,0,150753702.06,2,38,29,73,0,1,58.8,1,9,0,5,1085.95
"16",4.69473610045966,4.40076865078498,3.80437495456513,0.405669737619146,46.0976643272677,85.33,89590,1963,452405275.01,8209878.06,5063.12,810792.46,0,100891463.61,9,22,10,191,0,0,19.1,0,1,0,2,0
"17",4.25338716181585,4.22779801892155,3.77679422140302,0.453890571370861,123.949397936633,152.59,92090,1901,515157169.2,26693704.43,5614.3,4800719.19,0,105979261.25,12,6,2,134,0,1,29.7,3,4,0,2,869.14
"18",4.43389964497199,4.35450398900907,3.66724233108494,0.30333927536244,433.562599443239,109.22,80325,1281,449494533.81,46455130.59,5640.82,33878825.89,0,130717538.42,4,12,1,53,0,2,43.5,145,4,0,8,5230.69
"19",4.64908015018555,4.71393551135214,4.11581792773343,0.364365206089802,155.034571160704,69.42,100975,1268,611344009.75,39765146.72,6036.24,21227622.9,0,151120918.23,3,77,57,33,0,0,51.3,0,5,0,5,461.47
"20",4.46857422528159,4.19732661492565,3.92500506885686,0.407219283077483,NA,164.64,294510,1865,1958524153.88,105019105.56,6628.98,27546931.84,0,317842962.64,27,64,6,31,1.3,1,77.5,359,10,1,4,2696.67
"21",4.40339845589631,4.53166657665532,3.65358643910724,0.362951788933585,392.349842339195,109.65,195774,1259,1275112674.57,93365827.22,6494.58,103919628.08,0,330340889.71,14,114,82,45,18.7,2,51.2,320,1,0,9,1514.13
"22",4.41003096521147,4.47454481229806,3.6894703544567,0.304101123053056,108.206403385782,82.2,74834,1293,513228887.02,46730967.04,6891.57,39234363.92,0,143312436.52,5,14,4,42,0,0,38.3,3,4,0,0,207.25
"23",4.54992673171115,4.652793193669,4.09616414428884,0.251087873121644,225.63309103362,98.34,107692,1266,611075958.77,56912084.23,5674.29,21015988.11,0,154558923.78,7,62,47,79,0,2,77.2,97,6,0,3,844.46
